Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
502820,DCM,DCM LTD.,23 Jul 2014,Final Dividend - Rs. - 1.5000,-,25 Jul 2014,04 Aug 2014,18 Jul 2014,24 Jul 2014,03 Sep 2014
523127,EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,23 Jul 2014,Dividend - Rs. - 3.0000,-,25 Jul 2014,08 Aug 2014,18 Jul 2014,24 Jul 2014,09 Aug 2014
500840,EIHOTEL,EIH LTD.,23 Jul 2014,Dividend - Rs. - 1.1000,-,25 Jul 2014,06 Aug 2014,18 Jul 2014,24 Jul 2014,07 Aug 2014
500207,INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,23 Jul 2014,Dividend - Rs. - 1.0000,-,25 Jul 2014,01 Aug 2014,18 Jul 2014,24 Jul 2014,25 Aug 2014
533033,ISGEC,ISGEC Heavy Engineering Ltd,23 Jul 2014,Dividend - Rs. - 7.0000,-,25 Jul 2014,04 Aug 2014,18 Jul 2014,24 Jul 2014,21 Aug 2014
504840,KAIRA,KAIRA CAN CO.LTD.,23 Jul 2014,Final Dividend - Rs. - 5.0000,-,25 Jul 2014,01 Aug 2014,18 Jul 2014,24 Jul 2014,-
531213,MANAPPURAM,MANAPPURAM FINANCE LTD.,23 Jul 2014,Final Dividend - Rs. - 0.4500,-,25 Jul 2014,31 Jul 2014,18 Jul 2014,24 Jul 2014,-
530243,MANGASOF,MANGALYA SOFT-TECH LTD.,23 Jul 2014,General ,-,25 Jul 2014,30 Jul 2014,18 Jul 2014,24 Jul 2014,-
506734,MYSORPETRO,MYSORE PETRO CHEMICALS LTD.-$,23 Jul 2014,Dividend - Rs. - 1.5000,-,25 Jul 2014,01 Aug 2014,18 Jul 2014,24 Jul 2014,-
524000,POONAWALLA,Poonawalla Fincorp Ltd,23 Jul 2014,Dividend - Rs. - 0.8000,-,25 Jul 2014,31 Jul 2014,18 Jul 2014,24 Jul 2014,29 Aug 2014
531431,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LTD.-$,23 Jul 2014,Final Dividend - Rs. - 2.0000,-,25 Jul 2014,31 Jul 2014,18 Jul 2014,24 Jul 2014,-
521161,SLSTLQ,SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.-$,23 Jul 2014,Dividend - Rs. - 1.0000,-,25 Jul 2014,01 Aug 2014,18 Jul 2014,24 Jul 2014,-
500400,TATAPOWER,TATA POWER CO.LTD.,23 Jul 2014,Dividend - Rs. - 1.2500,-,25 Jul 2014,13 Aug 2014,18 Jul 2014,24 Jul 2014,-
